TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-11-14 12:14:13.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431
2024-11-14 12:14:13.890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:14.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:14.843,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,938.021978021978,2.820512820512821,560.4761904761905,650.7326007326008,1168.901098901099,0.969299,0.010132,0.161743,5.211334,-4.957123,-0.104675,1,4,4,2,4,30.000000
2024-11-14 12:14:15.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:15.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:15.843,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,1341.355311355311,1013.369963369963,833.2600732600733,1044.395604395604,773.6263736263736,0.970825,0.011902,0.165344,4.912262,-5.129089,-0.157013,1,4,4,2,4,30.000000
2024-11-14 12:14:15.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:16.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:16.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:16.843,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,1105.238095238095,668.4615384615385,837.6923076923077,846.959706959707,816.3369963369963,0.966553,0.012756,0.163513,4.942169,-5.024414,-0.179443,1,4,4,2,4,30.000000
2024-11-14 12:14:17.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:17.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:17.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:17.843,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,803.4432234432235,247.3992673992674,620.9157509157509,562.4908424908425,993.6263736263736,0.974060,0.016174,0.170898,5.181427,-5.286102,-0.276642,1,4,4,2,4,30.000000
2024-11-14 12:14:18.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:18.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:18.853,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,644.6886446886447,155.9340659340659,512.5274725274726,576.1904761904763,843.7362637362637,0.972656,0.013428,0.174438,4.987030,-5.136566,0.381317,1,4,4,2,4,30.000000
2024-11-14 12:14:19.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:14:19.843,1.20893856364354,0.6871871907049323,0,1.262943801834799,0.959922921560333,0.3437223635574386,0,1.258556687241897,0.9772857575424592,0.2819221131807754,0,1.254891629748315,0.8765073056790338,0.8436879451888253,0,0.9523116658560073,0.6542118574342034,0.5293266242468917,0,0.6010929757244633,836.4835164835165,648.7179487179487,806.6666666666667,694.6520146520147,755.8974358974359,0.969177,0.013062,0.168213,5.151520,-5.510406,-0.336456,1,4,4,2,4,30.000000
2024-11-14 12:14:19.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
