TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-11-14 12:10:20.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431
2024-11-14 12:10:20.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:20.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:21.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:21.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:21.856,0.658069520147651,0,0,0.3856652428384151,0.1663090333880845,0,0,0.3587905391493156,1.062251976505477,0,0,1.446433218557157,0.5086035007620027,0,0,0.7370916583845892,0.3292101309265899,0,0,0.6189582456889878,998.4615384615385,839.3040293040293,832.8571428571429,1056.886446886447,768.3882783882784,0.895203,0.087830,0.394043,4.785156,-5.443115,-0.127106,1,1,4,1,1,35.000000
2024-11-14 12:10:22.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:22.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:22.856,0.6718072769091368,0,0,0.1940119514584634,0.3622954496473696,0,0,0.1214837818861871,1.248595793016595,0,0,1.476439960564478,0.5586611576256705,0,0,0.6932541951308618,0.3244979036637511,0,0,0.5830231265953559,1135.860805860806,1048.424908424908,969.4505494505495,989.1941391941392,758.7179487179487,0.893127,0.088440,0.402527,5.151520,-5.473022,0.029907,1,1,4,1,1,35.000000
2024-11-14 12:10:23.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:23.855,0.2688808032746136,0,0,0.2150151068752104,0.3135325131185627,0,0,0.3282516432228059,1.257128891823228,0,0,1.493864219558027,0.6744710505980475,0,0,0.7638289154733375,0.4176163747483922,0,0,0.5866721396362427,1080.659340659341,768.7912087912088,907.3992673992674,1048.424908424908,958.1684981684982,0.901855,0.087280,0.401733,5.570221,-5.121613,-0.186920,1,1,4,1,1,35.000000
2024-11-14 12:10:24.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:10:24.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
