TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-11-14 12:16:02.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431
2024-11-14 12:16:02.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:03.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:03.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.8534798534798,1591.575091575092,965.4212454212454,826.8131868131868,851.3919413919414,0.968933,0.055664,0.187866,5.241241,-4.942169,-0.411224,1,2,4,2,2,35.000000
2024-11-14 12:16:03.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:04.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.7655677655678,1434.029304029304,752.6739926739926,777.2527472527473,825.6043956043957,0.961487,0.058594,0.188843,5.196381,-4.919739,-0.097198,1,2,4,2,2,35.000000
2024-11-14 12:16:05.740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925.1282051282052,696.2637362637363,554.8351648351648,1024.249084249084,823.5897435897436,0.968323,0.062500,0.190430,5.076752,-5.121613,-0.269165,0,4,4,4,4,35.000000
2024-11-14 12:16:06.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-11-14 12:16:06.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.6959706959707,1135.054945054945,743.0036630036631,943.6630036630037,753.4798534798535,0.965088,0.060547,0.189209,5.218811,-5.203857,-0.411224,1,2,4,2,2,35.000000
2024-11-14 12:16:07.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:07.740,0.666557989142494,0,0,0,0.4697837022814595,0,0,0,0.6465683590661386,0,0,0,1.095246809642137,0,0,0,0.6470836479441789,0,0,0,893.2967032967033,804.6520146520147,628.1684981684982,914.2490842490843,855.0183150183151,0.968262,0.060364,0.182129,5.562744,-5.256195,-0.628052,1,1,4,2,1,35.000000
2024-11-14 12:16:07.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:08.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:08.740,0.5886441358325333,0,0,0.6033847898864505,0.4835018053191293,0,0,0.8735248035028255,0.7807929822174745,0,0,1.091044139023739,1.020411009723962,0,0,1.176415954614277,0.5997799678892766,0,0,0.7107593652514396,936.8131868131868,727.6923076923077,475.4578754578754,1081.062271062271,821.978021978022,0.962830,0.065186,0.193787,4.927216,-5.069275,-0.456085,1,1,4,2,1,35.000000
2024-11-14 12:16:09.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:09.740,0.5918671774324212,0,0,0.6414620829380161,0.5339396111562876,0,0,0.8813287354429556,0.752297611986652,0,0,0.9586658404554739,1.087242907157451,0,0,1.26061870358871,0.5466498981125748,0,0,0.6613151914218555,934.3956043956044,844.9450549450549,664.0293040293041,1101.208791208791,814.3223443223443,0.961487,0.067383,0.187683,4.964600,-5.233765,-0.037384,1,1,4,2,1,35.000000
2024-11-14 12:16:10.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:10.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:10.740,0.5918671774324212,0,0,0.7774431047116839,0.5339396111562876,0,0,0.8089336917867186,0.752297611986652,0,0,0.8210047816050353,1.087242907157451,0,0,1.315909702316778,0.5466498981125748,0,0,0.6255841354241732,860.2564102564103,1063.736263736264,819.96336996337,831.2454212454213,804.6520146520147,0.960510,0.065552,0.194824,4.673004,-4.949646,-0.299072,1,1,4,2,1,35.000000
2024-11-14 12:16:11.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:11.740,0.4180835524196302,0,0,0.5523085224096135,0.574210501719602,0,0,0.6016038235589676,0.9063110010843169,0,0,0.8411903811088666,1.012391365481514,0,0,1.005932981468568,0.4211537435950174,0,0,0.8192523752662682,948.0952380952381,448.4615384615385,539.1208791208792,1023.040293040293,727.6923076923077,0.965027,0.067688,0.192078,4.874878,-5.323486,0.007477,1,1,4,2,1,35.000000
2024-11-14 12:16:12.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:12.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:12.739,0.5122770413011924,0,0,0.6644105215062915,0.8113641003874157,0,0,0.4194405750880087,0.8762844747380745,0,0,0.6403257027747297,1.044075640057942,0,0,1.03496729551718,0.3957460932305331,0,0,0.7707858188752273,910.2197802197802,1203.956043956044,726.4835164835165,965.4212454212454,817.948717948718,0.962585,0.064392,0.182251,4.957123,-4.979553,-0.171967,1,1,4,2,1,35.000000
2024-11-14 12:16:12.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:13.749,0.6388721635250336,0,0,0.8136981155501318,1.040406755455727,0,0,0.3075656916928959,0.7892678827775896,0,0,0.407852488076738,1.09837168152775,0,0,1.053140016076342,0.3671871043535632,0,0,0.6708889532526829,925.934065934066,0,514.1391941391942,1031.501831501831,846.5567765567765,0.961853,0.066162,0.185364,4.882355,-4.987030,-0.515900,1,1,1,2,1,35.000000
2024-11-14 12:16:14.748,0.3224177887941742,0,0,0.8136981155501318,0.4192911020768483,0,0,0.3075656916928959,0.4380593381723448,0,0,0.407852488076738,0.841795301190721,0,0,1.053140016076342,0.4097094632238527,0,0,0.6708889532526829,931.978021978022,316.3003663003663,596.7399267399268,1043.589743589744,851.3919413919414,0.961365,0.064270,0.185181,5.203857,-5.106659,-0.680389,1,1,2,2,1,35.000000
2024-11-14 12:16:15.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:16:15.740,0.6626826726385121,0,0,1.093348336173626,0.5403705437961021,0,0,0.5044269585161913,0.7978689789045992,0,0,0.8322673965532882,0.8431799670784291,0,0,1.008678836098344,0.4471905325664615,0,0,0.6547435364620681,911.4285714285714,768.3882783882784,632.1978021978022,1024.249084249084,788.5347985347986,0.965393,0.065125,0.187805,4.964600,-5.211334,-0.680389,1,1,4,2,1,35.000000
