TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10
1731615021.856,0.658069520147651,0.0,0.0,0.3856652428384151,0.1663090333880845,0.0,0.0,0.3587905391493156,1.062251976505477,0.0,0.0,1.446433218557157,0.5086035007620027,0.0,0.0,0.7370916583845892,0.3292101309265899,0.0,0.0,0.6189582456889878,998.4615384615385,839.3040293040293,832.8571428571429,1056.886446886447,1.0,4.0,1.0,1.0
1731615022.856,0.6718072769091368,0.0,0.0,0.1940119514584634,0.3622954496473696,0.0,0.0,0.1214837818861871,1.248595793016595,0.0,0.0,1.476439960564478,0.5586611576256705,0.0,0.0,0.6932541951308618,0.3244979036637511,0.0,0.0,0.5830231265953559,1135.860805860806,1048.424908424908,969.4505494505496,989.1941391941392,1.0,4.0,1.0,1.0
1731615023.855,0.2688808032746136,0.0,0.0,0.2150151068752104,0.3135325131185627,0.0,0.0,0.3282516432228059,1.257128891823228,0.0,0.0,1.493864219558027,0.6744710505980475,0.0,0.0,0.7638289154733375,0.4176163747483922,0.0,0.0,0.5866721396362427,1080.659340659341,768.7912087912088,907.3992673992674,1048.424908424908,1.0,4.0,1.0,1.0
1731615024.866,0.3361533042657183,0.0,0.0,0.489861035807144,0.3628255991415923,0.0,0.0,0.3164740069188197,1.086751375518902,0.0,0.0,1.50098553176737,0.7207590539825696,0.0,0.0,0.8143877793796684,0.5149271668329671,0.0,0.0,0.5292857945968942,1123.772893772894,450.4761904761905,802.6373626373627,898.5347985347986,1.0,4.0,1.0,1.0
1731615025.856,0.8628066711159236,0.0,0.0,0.8074444423810583,0.7168293332944512,0.0,0.0,0.5703641667633562,1.047686657341458,0.0,0.0,1.395095348636851,0.5836204594767068,0.0,0.0,0.8802110092030648,0.5994341676459523,0.0,0.0,0.6552839270243758,1139.084249084249,778.0586080586081,936.4102564102564,939.6336996336996,1.0,4.0,1.0,1.0
1731615026.856,0.9611764399373288,0.0,0.0,0.729121629399325,0.8187703184466693,0.0,0.0,0.6610032304746399,1.199756121565021,0.0,0.0,1.101913165866423,0.5908099159160809,0.0,0.0,0.7934994416316936,0.4634488281473365,0.0,0.0,0.5332567426981132,1123.369963369963,326.3736263736264,835.2747252747253,1015.787545787546,1.0,4.0,1.0,1.0
1731615027.856,0.788310857232452,0.0,0.0,0.4626473694456472,0.4517592201957716,0.0,0.0,0.3949063594620413,1.150075333640748,0.0,0.0,1.226672943146394,0.5166595675690614,0.0,0.0,0.7487459035267492,0.3760780032961346,0.0,0.0,0.5376736329996449,1140.29304029304,436.7765567765568,695.054945054945,872.3443223443223,1.0,4.0,1.0,1.0
1731615028.862,0.6945043823542336,0.0,0.0,0.3595119223312809,0.3147267406633591,0.0,0.0,0.3355088649908697,1.218675090624872,0.0,0.0,1.177367281043572,0.7214177787922642,0.0,0.0,0.6506629265328067,0.4249164100259028,0.0,0.0,0.3903096529636224,1133.040293040293,969.4505494505496,932.3809523809524,873.956043956044,1.0,4.0,1.0,1.0
1731615254.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,938.021978021978,2.820512820512821,560.4761904761905,650.7326007326008,4.0,4.0,2.0,4.0
1731615255.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,1341.355311355311,1013.369963369963,833.2600732600733,1044.395604395604,4.0,4.0,2.0,4.0
1731615256.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,1105.238095238095,668.4615384615385,837.6923076923077,846.959706959707,4.0,4.0,2.0,4.0
1731615257.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,803.4432234432235,247.3992673992674,620.9157509157509,562.4908424908425,4.0,4.0,2.0,4.0
1731615258.853,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,644.6886446886447,155.9340659340659,512.5274725274726,576.1904761904763,4.0,4.0,2.0,4.0
1731615259.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,836.4835164835165,648.7179487179487,806.6666666666667,694.6520146520147,4.0,4.0,2.0,4.0
1731615260.849,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,906.5934065934066,495.6043956043956,694.2490842490843,707.5457875457876,4.0,4.0,2.0,4.0
1731615261.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,520.989010989011,59.23076923076923,463.7728937728938,564.9084249084249,4.0,4.0,2.0,4.0
1731615262.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,748.2417582417582,813.5164835164835,868.3150183150184,491.5750915750916,4.0,4.0,2.0,4.0
1731615263.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,764.3589743589744,299.7802197802198,636.6300366300367,676.1172161172161,4.0,4.0,2.0,4.0
1731615264.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,928.7545787545788,236.1172161172161,504.8717948717949,1054.468864468864,4.0,4.0,2.0,4.0
1731615265.843,1.20893856364354,0.6871871907049323,0.0,1.262943801834799,0.959922921560333,0.3437223635574386,0.0,1.258556687241897,0.9772857575424592,0.2819221131807754,0.0,1.254891629748315,0.8765073056790338,0.8436879451888253,0.0,0.9523116658560072,0.6542118574342034,0.5293266242468917,0.0,0.6010929757244633,1075.018315018315,534.6886446886447,711.978021978022,872.3443223443223,4.0,4.0,2.0,4.0
1731615406.965,0.6598551135980032,0.0,0.0,0.8820206774306438,0.5936620270682305,0.0,0.0,0.143359491692361,0.7983769215663866,0.0,0.0,0.5970505911382803,0.5190604346937037,0.0,0.0,0.6328169763735447,0.2872917639650071,0.0,0.0,0.5862300824204538,979.92673992674,897.7289377289378,914.2490842490844,953.3333333333334,1.0,4.0,2.0,1.0
1731615407.97,0.6628169054362416,0.0,0.0,0.6654310007692957,0.4369523245388884,0.0,0.0,0.6386640998283662,0.6631246153284066,0.0,0.0,0.8181531250749088,0.618427343322778,0.0,0.0,0.4491723574428054,0.2761692357722727,0.0,0.0,0.3603980627927069,985.1648351648352,1078.644688644689,902.1611721611722,930.7692307692308,1.0,4.0,2.0,1.0
1731615408.964,0.6921801628023241,0.0,0.0,0.8939997255769414,0.1180294151542603,0.0,0.0,0.391292636749852,0.749828810188479,0.0,0.0,0.7021397909736514,0.7074893520853194,0.0,0.0,0.6420185462514384,0.1580696278033404,0.0,0.0,0.378010279183278,995.6410256410256,1305.091575091575,845.3479853479854,919.4871794871796,1.0,4.0,2.0,1.0
1731615409.963,0.7942246168470826,0.0,0.0,0.9875137310463236,0.5177600111637857,0.0,0.0,0.6657565420478161,0.8968385518540073,0.0,0.0,0.5656102922037148,0.6887469603700674,0.0,0.0,0.7131751075942331,0.2794252462976826,0.0,0.0,0.4324013829772305,979.92673992674,1625.018315018315,889.2673992673992,956.959706959707,1.0,4.0,2.0,1.0
1731615410.963,0.5111512292925307,0.0,0.0,0.6027060700914637,0.4060253468638098,0.0,0.0,0.4758742761516174,0.8448458054975466,0.0,0.0,0.7366227253068335,0.6637943830933523,0.0,0.0,0.621131479406183,0.2874235781504987,0.0,0.0,0.2775223452670309,975.897435897436,1177.362637362637,862.6739926739926,955.3479853479854,1.0,4.0,2.0,1.0
1731615411.962,0.5443335501700194,0.0,0.0,0.5518322927269592,0.4252863894368407,0.0,0.0,0.4519144484926716,0.5548272448695988,0.0,0.0,0.8961241507676204,0.7170318526205128,0.0,0.0,0.6615362682975755,0.2677612572618571,0.0,0.0,0.2130656494302005,867.5091575091575,585.8608058608058,579.0109890109891,907.8021978021978,1.0,4.0,2.0,1.0
1731615412.975,0.3877321216943035,0.0,0.0,0.5519603743741639,0.3445198130928303,0.0,0.0,0.5488371642781044,0.6198916704433128,0.0,0.0,0.918127916887241,0.5911598092082692,0.0,0.0,0.6765145767712323,0.2051663313819044,0.0,0.0,0.0707677537227415,914.2490842490844,1175.750915750916,854.6153846153846,930.7692307692308,1.0,4.0,2.0,1.0
