TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
2024-11-14 12:09:23.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431,Resting
2024-11-14 12:09:24.833,0.6806335259693529,0.0,0.0,0.3525837600401706,0.6551364991057721,0.0,0.0,0.7044613383996297,1.50847886778001,0.0,0.0,1.598849639744855,0.7679900904480877,0.0,0.0,0.8468160251115702,0.5282366813724338,0.0,0.0,0.5134484524809201,1255.531135531136,451.6849816849817,660.8058608058608,723.6630036630037,836.4835164835165,0.897034,0.077393,0.397766,5.345917,-5.435638,-0.097198,1.0,1.0,4.0,1.0,1.0,35.0,,Resting
2024-11-14 12:09:25.833,0.3567671741566769,0.0,0.0,0.177184035220871,0.7219114106982881,0.0,0.0,0.6386892852449173,1.473119514003457,0.0,0.0,1.582465028050432,0.7992461927039278,0.0,0.0,0.8488966068293353,0.4706525865096157,0.0,0.0,0.6702039931284512,1002.893772893773,382.3809523809524,656.3736263736264,783.6996336996338,816.7399267399268,0.894653,0.076416,0.401001,5.256195,-5.308533,0.134583,1.0,1.0,4.0,1.0,1.0,35.0,,Resting
2024-11-14 12:09:26.837,0.5669409659834911,0.0,0.0,0.2722308664281073,0.370174332950243,0.0,0.0,0.4756705171293883,1.006649309196953,0.0,0.0,1.54213270419885,0.8656020514370689,0.0,0.0,0.8140074446647215,0.7092856937629308,0.0,0.0,0.6886539331206954,1076.630036630037,592.7106227106227,732.1245421245421,771.2087912087912,792.967032967033,0.893127,0.073853,0.397034,5.031891,-5.540314,-0.37384,1.0,1.0,2.0,1.0,1.0,35.0,,Resting
2024-11-14 12:09:27.836,0.3854653183729232,0.0,0.0,0.293423871580985,0.2454464860681466,0.0,0.0,0.2922831069154856,1.1561936979492,0.0,0.0,1.122189362758282,0.7381167674072516,0.0,0.0,0.8731081324091251,0.5479955152391384,0.0,0.0,0.5810895471143986,1101.208791208791,354.5787545787546,656.3736263736264,732.9304029304029,622.9304029304029,0.897705,0.077698,0.402344,4.732819,-5.024414,0.18692,1.0,1.0,2.0,1.0,1.0,35.0,,Resting
2024-11-14 12:09:28.833,0.7281592596988296,0.0,0.0,0.2669537104751134,0.3807314785426792,0.0,0.0,0.5831127107840246,1.204686474168327,0.0,0.0,1.29230038851547,0.6701034786013859,0.0,0.0,0.8389502833900506,0.5488422407283942,0.0,0.0,0.6177476899802697,667.2527472527473,396.4835164835165,671.2820512820513,784.5054945054945,816.3369963369963,0.902588,0.073792,0.401184,5.061798,-5.308533,-0.059814,1.0,1.0,4.0,1.0,1.0,35.0,,Resting
2024-11-14 12:09:29.833,0.6168418039270586,0.0,0.0,0.3574552123724745,0.4498143716406764,0.0,0.0,0.1578421254669018,1.225502341114649,0.0,0.0,1.347846856737616,0.7200976965390168,0.0,0.0,0.9177269308184516,0.6922432748658293,0.0,0.0,0.8233796944843639,705.1282051282052,352.1611721611721,693.040293040293,736.959706959707,726.4835164835165,0.901184,0.074707,0.39563,5.33844,-5.016937,-0.127106,1.0,1.0,2.0,1.0,1.0,40.0,,Resting
2024-11-14 12:09:30.833,0.6738020099986397,0.0,0.0,0.7095254347839007,0.3053324966206697,0.0,0.0,0.3666928038913197,1.099416751199019,0.0,0.0,1.330656546889537,0.7897482755427417,0.0,0.0,0.9267137273048978,0.737053299267639,0.0,0.0,0.7472868279333074,804.2490842490843,442.8205128205128,729.7069597069598,774.0293040293041,894.5054945054945,0.900757,0.075867,0.40033,5.682373,-5.188904,-0.224304,1.0,1.0,4.0,1.0,1.0,40.0,,Resting
2024-11-14 12:09:31.833,1.255384716269007,0.0,0.0,0.829948165905023,1.212582913882377,0.0,0.0,0.5967437536343904,1.11729173218912,0.0,0.0,1.072099876204031,0.63817610772228,0.0,0.0,0.9037825516879432,0.4774602249025551,0.0,0.0,0.5121896463018737,848.1684981684982,288.0952380952381,538.7179487179487,759.5238095238095,769.1941391941392,0.902039,0.073792,0.394226,5.17395,-5.540314,-0.104675,1.0,1.0,2.0,1.0,1.0,40.0,,Resting
2024-11-14 12:09:43.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431,Hard
2024-11-14 12:09:44.578,0.3712108562920692,0.0,0.0,0.3269402875369675,0.3325527706652581,0.0,0.0,0.056002507280892,0.9713976469847084,0.0,0.0,0.8412753549452971,0.5204389274384134,0.0,0.0,0.933289026181686,0.5373419067733455,0.0,0.0,0.5336484624848182,840.9157509157509,500.4395604395605,746.2271062271062,900.1465201465202,803.040293040293,0.901794,0.079651,0.401184,5.091705,-5.091705,-0.104675,1.0,1.0,2.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:45.579,0.278655497193071,0.0,0.0,0.408343591635385,0.2070725964785322,0.0,0.0,0.1601477668572311,0.6947141786823127,0.0,0.0,0.8382816205952678,0.4431154016925272,0.0,0.0,0.9456271350782656,0.552626055068168,0.0,0.0,0.5554759302659609,1147.142857142857,461.7582417582418,685.3846153846154,771.6117216117216,782.4908424908425,0.89917,0.075317,0.398193,4.957123,-5.308533,-0.231781,1.0,1.0,2.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:46.578,0.2941115812459554,0.0,0.0,0.4229951258330664,0.2967121240838584,0.0,0.0,0.0714493181249461,0.5382202201901687,0.0,0.0,0.8360714046645206,0.6351192241687292,0.0,0.0,0.8245131845124333,0.3152322042042092,0.0,0.0,0.5976434674995987,1124.578754578755,413.8095238095238,669.6703296703297,800.2197802197802,865.4945054945056,0.899902,0.080383,0.400452,4.942169,-5.061798,0.014954,1.0,1.0,4.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:47.578,0.3291488621116793,0.0,0.0,0.1579173278936541,0.4496597913354938,0.0,0.0,0.1370022739277473,0.7987173696277167,0.0,0.0,0.840646963180635,0.6917324079633507,0.0,0.0,0.7732312056237981,0.4208576019351708,0.0,0.0,0.6308449098278606,1075.824175824176,554.0293040293041,756.3003663003664,810.2930402930403,810.2930402930403,0.89325,0.081543,0.40448,5.398254,-5.233765,-0.18692,1.0,1.0,4.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:48.587,0.3723956684649342,0.0,0.0,0.1751667178687157,0.6543615924811217,0.0,0.0,0.2813318941340294,0.8152748596055956,0.0,0.0,0.4659919890841819,0.8004720106107718,0.0,0.0,0.7645016033038272,0.4993443800399049,0.0,0.0,0.6080855117669164,1179.377289377289,293.7362637362638,644.2857142857143,712.7838827838829,815.5311355311355,0.898071,0.079773,0.399841,5.17395,-5.218811,0.142059,1.0,1.0,4.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:49.579,0.1537414288806448,0.0,0.0,0.0325135255988502,0.3970616345758428,0.0,0.0,0.2876696668538855,0.9194662357790876,0.0,0.0,1.263147938019725,0.713336279258949,0.0,0.0,0.7964938960654808,0.4202870606919047,0.0,0.0,0.5072019914942303,1212.014652014652,460.1465201465202,668.8644688644689,746.2271062271062,844.1391941391942,0.896179,0.078735,0.40271,5.36087,-5.114136,-0.209351,1.0,1.0,2.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:50.578,0.1983735284423967,0.0,0.0,0.2196068134637227,0.2785754886137055,0.0,0.0,0.3480984086165694,1.026642986056713,0.0,0.0,1.364271024220686,0.5990000036746498,0.0,0.0,0.6886630125701471,0.4055618284772614,0.0,0.0,0.4413532904582432,1194.285714285714,365.0549450549451,682.5641025641025,748.2417582417582,770.0,0.898071,0.084229,0.400146,5.248718,-5.52536,-0.157013,1.0,1.0,2.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:51.583,0.1040620818001206,0.0,0.0,0.3301509087790529,0.308123295112723,0.0,0.0,0.2676705168905612,1.117432461542704,0.0,0.0,0.8559886140072804,0.4110836063863671,0.0,0.0,0.7450663445787975,0.2649577121086392,0.0,0.0,0.5281474041937577,1091.135531135531,353.3699633699634,645.4945054945055,714.3956043956044,837.6923076923077,0.897522,0.080994,0.404541,4.665527,-5.465546,0.299072,1.0,1.0,2.0,1.0,1.0,40.0,,Hard
2024-11-14 12:09:52.589,0.1213935411529414,0.0,0.0,0.2107063851379981,0.2565489765927344,0.0,0.0,0.1852201384522953,1.056175582368585,0.0,0.0,0.8515877414560467,0.6325817277312357,0.0,0.0,0.738370968914674,0.4231749096951331,0.0,0.0,0.3788003143952066,1108.864468864469,234.5054945054945,601.5750915750916,705.5311355311355,693.4432234432235,0.900574,0.082886,0.400879,5.293579,-5.144043,-0.119629,1.0,1.0,4.0,1.0,1.0,40.0,,Hard
2024-11-14 12:10:00.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431,Soft
