TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-11-14 12:15:44.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C431
2024-11-14 12:15:44.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:44.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:45.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.9450549450549,1434.029304029304,801.8315018315019,695.8608058608058,632.1978021978022,0.970947,0.052673,0.147583,5.114136,-5.181427,-0.381317,1,2,4,2,2,30.000000
2024-11-14 12:15:45.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:46.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.9120879120879,1285.347985347985,738.974358974359,471.4285714285714,702.3076923076924,0.974304,0.047363,0.150940,4.852448,-5.428162,-0.201874,1,2,4,2,2,30.000000
2024-11-14 12:15:46.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:46.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:47.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.6630036630037,1190.659340659341,751.8681318681319,707.5457875457876,755.0915750915751,0.970642,0.050537,0.146545,4.942169,-4.867401,-0.089722,1,2,4,2,2,30.000000
2024-11-14 12:15:47.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:47.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:48.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:48.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661.6117216117216,1464.249084249084,791.3553113553114,515.3479853479854,644.2857142857143,0.971558,0.047729,0.150513,5.001984,-5.383301,0.224304,1,2,4,2,2,30.000000
2024-11-14 12:15:48.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:48.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:49.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.3076923076924,1337.326007326007,817.948717948718,847.3626373626374,772.8205128205128,0.974304,0.045593,0.147339,5.121613,-5.106659,-0.157013,1,2,4,2,2,30.000000
2024-11-14 12:15:49.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:49.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:49.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:50.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.7509157509157,1376.813186813187,772.4175824175825,866.3003663003664,828.021978021978,0.971802,0.047546,0.147095,4.897308,-5.271149,-0.179443,1,2,4,2,2,30.000000
2024-11-14 12:15:50.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:50.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:51.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.6666666666667,3.223443223443224,829.6336996336996,722.0512820512821,614.4688644688645,0.964966,0.046509,0.140991,4.852448,-5.241241,-0.284119,1,2,4,2,2,30.000000
2024-11-14 12:15:51.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:51.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:52.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747.032967032967,1419.52380952381,803.8461538461539,622.1245421245421,771.6117216117216,0.973938,0.050049,0.142700,5.435638,-5.375824,-0.942078,1,2,4,2,2,30.000000
2024-11-14 12:15:52.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:52.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:52.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:52.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:53.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.2857142857143,992.8205128205128,702.3076923076924,886.8498168498169,898.9377289377289,0.973633,0.051819,0.144592,5.233765,-4.964600,-0.844879,1,2,4,2,2,30.000000
2024-11-14 12:15:53.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:53.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:54.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.3956043956044,1375.201465201465,796.5934065934066,775.6410256410256,780.8791208791209,0.971741,0.055359,0.149048,5.054321,-5.039368,-0.635529,1,2,4,2,2,30.000000
2024-11-14 12:15:54.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-11-14 12:15:55.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.0439560439561,1251.904761904762,805.4578754578755,718.8278388278388,769.1941391941392,0.970459,0.053467,0.145203,4.680481,-4.927216,-0.134583,1,2,4,2,2,30.000000
2024-11-14 12:15:55.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
